Group,,Residuals
1,A,-0.775715835
2,A,-1.277528793
3,A,-0.141765976
4,A,-2.359792292
5,A,1.653514121
6,A,2.429540771
7,A,0.613495847
8,A,0.618364667
9,A,-0.897259749
10,A,-4.886672797
11,A,-2.416443624
12,A,1.265712785
13,A,-0.249652228
14,A,0.762331086
15,A,0.660482235
16,A,-0.089521108
17,A,-1.228001527
18,A,1.06751162
19,A,3.37429523
20,A,0.887862527
21,A,-0.090627078
22,A,-0.035728337
23,A,0.710935083
24,A,-1.467783768
25,A,0.136907807
26,A,0.62091045
27,A,7.911416007
28,A,0.303687331
29,A,0.044428962
30,A,3.32787616
31,B,-1.360730062
32,B,-0.564523904
33,B,-0.560133138
34,B,-1.207755621
35,B,0.495719716
36,B,-1.103341212
37,B,1.062783537
38,B,-0.259146427
39,B,0.930381616
40,B,0.343071489
41,B,1.728056531
42,B,1.869283107
43,B,0.126073437
44,B,0.029756335
45,B,-0.93809045
46,B,-0.71156303
47,B,0.114014991
48,B,-0.452473534
49,B,-1.489222165
50,B,0.417989614
51,B,0.401302934
52,B,0.924444568
53,B,0.132078512
54,B,0.880510223
55,B,1.723231094
56,B,-0.43779678
57,B,-4.261915231
58,B,4.36039543
59,B,-1.667988168
60,B,-1.14081661
61,C,-0.021154234
62,C,-0.315717651
63,C,-0.312517346
64,C,-1.691196617
65,C,-1.418410032
66,C,-0.479009592
67,C,-0.018161655
68,C,3.138141778
69,C,-0.023214051
70,C,-1.120833036
71,C,-0.661484126
72,C,-0.173564833
73,C,-1.070913998
74,C,-0.987640029
75,C,-0.446207248
76,C,0.930251467
77,C,0.633298657
78,C,1.725885336
79,C,1.839746616
80,C,-1.598817788
81,C,3.588223241
82,C,-0.247518552
83,C,-0.507550213
84,C,-0.007162582
85,C,-0.055974605
86,C,0.195963732
87,C,-0.750870322
88,C,0.09936167
89,C,0.308739361
90,C,-0.526624269
