Dataset,,Value
1,A,41.90760758
2,A,87.63498543
3,A,55.64860032
4,A,53.00031124
5,A,48.43374307
6,A,86.482855
7,A,80.4999697
8,A,44.98701683
9,A,15.48723673
10,A,0.74140315
11,A,38.71994251
12,A,35.59159211
13,A,87.83821957
14,A,25.63190982
15,A,45.99282702
16,A,72.67592871
17,A,35.62892768
18,A,51.42107589
19,A,56.37984326
20,A,77.49337799
21,A,59.31717837
22,A,30.45574363
23,A,9.38902645
24,A,79.62947841
25,A,82.00180713
26,A,46.52086861
27,A,59.33223038
28,A,-3.28818524
29,A,61.26671386
30,A,56.21106761
31,A,45.28313587
32,A,42.91947974
33,A,33.30155198
34,A,59.49065953
35,A,52.68728394
36,A,25.15416595
37,A,39.54614024
38,A,47.24070236
39,A,53.42448302
40,A,50.34775111
41,A,26.76660061
42,A,60.49830501
43,A,53.41450347
44,A,40.69983563
45,A,39.22843882
46,A,55.44108954
47,A,42.68968111
48,A,57.15249675
49,A,53.49397133
50,A,87.59466152
51,A,19.53611444
52,A,49.43030033
53,A,31.73341323
54,A,48.46308027
55,A,85.03761226
56,A,66.56875234
57,A,52.2795603
58,A,43.02995878
59,A,41.30504832
60,A,49.83638203
61,A,66.19913037
62,A,22.57746934
63,A,50.01521001
64,A,29.59668584
65,A,82.43052216
66,A,32.82487177
67,A,28.38965721
68,A,51.50794223
69,A,54.13165532
70,A,65.51150759
71,A,62.65667586
72,A,23.24254634
73,A,42.89998716
74,A,68.27316675
75,A,49.65958889
76,A,60.40847781
77,A,28.49743024
78,A,60.546364
79,A,68.53852866
80,A,70.19761463
81,A,50.85758961
82,A,24.77826344
83,A,14.18132446
84,A,70.42540372
85,A,58.12576121
86,A,42.08766925
87,A,57.01659558
88,A,55.34647865
89,A,55.75645929
90,A,81.70300903
91,A,30.15993056
92,A,43.90686021
93,A,52.02559709
94,A,39.40363267
95,A,89.52186171
96,A,1.09836312
97,A,83.42601102
98,A,52.44112765
99,A,41.81877534
100,A,64.79615358
101,A,56.57057142
102,A,56.69835242
103,A,31.45916679
104,A,49.10553476
105,A,55.13106433
106,A,46.60006722
107,A,53.22277081
108,A,61.38302891
109,A,32.9182787
110,A,47.4062341
111,A,74.31229003
112,A,57.65005312
113,A,54.01922139
114,A,85.96045043
115,A,41.0190917
116,A,21.55677377
117,A,45.27892201
118,A,20.87119
119,A,55.31470133
120,A,-10.93996625
121,A,40.15862481
122,A,77.75767727
123,A,100.7345078
124,A,44.16804202
125,A,44.11674177
126,A,69.97947042
127,A,66.63949854
128,A,69.08015808
129,A,18.33474748
130,A,51.19018976
131,A,44.26320763
132,A,31.16016956
133,A,5.32909352
134,A,49.03884331
135,A,60.20460197
136,A,53.05530262
137,A,15.4201399
138,A,32.50979022
139,A,39.93818667
140,A,48.88215169
141,A,34.35007496
142,A,16.23116343
143,A,46.40252735
144,A,71.1247334
145,A,35.7870378
146,A,67.91380966
147,A,45.98785917
148,A,45.79675368
149,A,22.97095473
150,A,33.47565997
151,A,45.10551794
152,A,56.97327823
153,A,67.42055887
154,A,77.51690342
155,A,45.66758306
156,A,81.36568901
157,A,25.97644603
158,A,38.19809402
159,A,59.48833935
160,A,49.0219488
161,A,90.61327458
162,A,14.4755091
163,A,55.27828509
164,A,83.01750185
165,A,14.17482692
166,A,38.16626625
167,A,76.58840002
168,A,95.79516556
169,A,51.87592119
170,A,60.46190863
171,A,71.93805044
172,A,35.27470767
173,A,29.51523682
174,A,59.72422858
175,A,47.81609916
176,A,12.62400094
177,A,87.54380143
178,A,72.88248603
179,A,16.56228079
180,A,24.81788657
181,A,107.2303436
182,A,51.61718272
183,A,16.89278585
184,A,48.09723982
185,A,12.59422343
186,A,48.45787032
187,A,119.7164194
188,A,50.57326537
189,A,22.03068178
190,A,66.83925294
191,A,75.79321973
192,A,49.35216655
193,A,42.21338095
194,A,50.59097701
195,A,45.65850553
196,A,37.06562503
197,A,43.13167346
198,A,60.39663217
199,A,60.30106478
200,A,73.78473032
201,A,51.19335144
202,A,85.73961
203,A,61.35172991
204,A,70.5241123
205,A,80.4287155
206,A,89.11207023
207,A,44.01476878
208,A,52.2652022
209,A,55.88883315
210,A,75.06509266
211,A,70.11069964
212,A,29.3620734
213,A,43.54452017
214,A,17.48585501
215,A,33.50740669
216,A,66.61999557
217,A,49.87033216
218,A,9.84290293
219,A,46.46346449
220,A,60.02284805
221,A,70.25742531
222,A,78.74178537
223,A,31.35811006
224,A,76.7985666
225,A,33.68473524
226,A,38.97158942
227,A,53.88895855
228,A,15.47476534
229,A,59.48874545
230,A,84.68717958
231,A,87.84055027
232,A,53.32143654
233,A,57.07873947
234,A,69.93239486
235,A,59.44154248
236,A,60.71655665
237,A,54.01592011
238,A,77.75582542
239,A,46.92868224
240,A,70.3019479
241,A,75.52823907
242,A,79.29239785
243,A,89.3000368
244,A,59.91917264
245,A,49.94060663
246,A,12.95711681
247,A,30.37784541
248,A,80.49106178
249,A,46.33407024
250,A,44.04295258
251,A,46.79972492
252,A,32.10433115
253,A,0.02394979
254,A,72.10137014
255,A,59.97654169
256,A,71.66617307
257,A,36.63920397
258,A,57.63604164
259,A,56.56123126
260,A,16.37981111
261,A,65.04182283
262,A,33.14835449
263,A,43.45316507
264,A,36.66939444
265,A,29.88655244
266,A,35.21868155
267,A,59.73666297
268,A,65.87152699
269,A,90.11874494
270,A,33.91696528
271,A,95.34745086
272,A,47.66618648
273,A,73.66929423
274,A,65.52110017
275,A,51.58621102
276,A,34.50272472
277,A,25.80962056
278,A,41.55339855
279,A,34.07754795
280,A,58.62600606
281,A,61.76964776
282,A,46.06588905
283,A,83.58526189
284,A,50.93332948
285,A,39.09720152
286,A,64.1376887
287,A,60.27693735
288,A,70.16663809
289,A,55.65843765
290,A,92.01355124
291,A,10.2156843
292,A,65.21026674
293,A,40.39797624
294,A,33.84688037
295,A,53.46913369
296,A,33.35867802
297,A,21.77244186
298,A,36.80793337
299,A,74.27603099
300,A,39.33428133
301,A,105.5361156
302,A,25.34583537
303,A,54.59098403
304,A,38.08136845
305,A,13.16156947
306,A,72.16403729
307,A,60.02493794
308,A,48.3740798
309,A,96.59837195
310,A,68.35894114
311,A,43.89418465
312,A,48.62432384
313,A,68.57311304
314,A,70.34746631
315,A,58.8454866
316,A,31.74659426
317,A,49.98478999
318,A,54.60699491
319,A,54.93109365
320,A,38.33803295
321,A,68.87651447
322,A,58.69183436
323,A,82.16003151
324,A,39.95259263
325,A,2.45140841
326,A,20.57594688
327,A,43.73621785
328,A,33.53925539
329,A,33.77911646
330,A,73.62143374
331,A,46.09287905
332,A,57.81930361
333,A,65.98649552
334,A,78.28714426
335,A,64.22090995
336,A,61.6887866
337,A,15.62404741
338,A,49.63948115
339,A,38.88182098
340,A,14.04156343
341,A,59.03973164
342,A,43.8902627
343,A,29.780231
344,A,21.25908228
345,A,-0.34240236
346,A,47.33721157
347,A,33.793798
348,A,72.78363721
349,A,51.01460073
350,A,42.07977915
351,A,13.01387585
352,A,45.09709704
353,A,88.1269701
354,A,91.77936396
355,A,62.8085452
356,A,63.88150988
357,A,29.71396001
358,A,36.75156275
359,A,52.67581112
360,A,51.77536232
361,A,68.70911016
362,A,23.76152409
363,A,56.81736743
364,A,70.84548114
365,A,32.47978186
366,A,44.72916783
367,A,62.46052832
368,A,47.79225523
369,A,12.29147431
370,A,45.06929554
371,A,55.10425992
372,A,79.31605462
373,A,47.05235949
374,A,37.72414841
375,A,62.30043829
376,A,49.65095323
377,A,96.5833012
378,A,13.06673373
379,A,48.38491642
380,A,26.71733748
381,A,53.52028696
382,A,34.00737593
383,A,32.23322183
384,A,39.672987
385,A,46.92384321
386,A,86.02870331
387,A,42.31668141
388,A,12.98996429
389,A,53.64662034
390,A,68.83081948
391,A,56.65056779
392,A,44.38253137
393,A,57.79166535
394,A,68.70512584
395,A,67.38729397
396,A,30.53678583
397,A,76.20932421
398,A,48.61358296
399,A,44.88962926
400,A,40.43749985
401,A,19.71448597
402,A,58.51194575
403,A,64.40437904
404,A,44.18498734
405,A,83.10720182
406,A,40.21005038
407,A,66.31042688
408,A,40.08977952
409,A,52.25466846
410,A,75.63188976
411,A,64.21146558
412,A,44.90925413
413,A,71.78159297
414,A,40.50337262
415,A,35.17985647
416,A,86.4824722
417,A,64.47197036
418,A,15.06114132
419,A,38.38056788
420,A,35.96335016
421,A,23.60093259
422,A,6.95462223
423,A,53.69933176
424,A,63.04926151
425,A,34.04515036
426,A,58.58217635
427,A,100.9001158
428,A,59.86952005
429,A,73.24603203
430,A,52.37899925
431,A,35.24030215
432,A,56.06767933
433,A,55.02208458
434,A,79.04423932
435,A,39.14390968
436,A,54.36682034
437,A,33.63679429
438,A,102.9138565
439,A,34.69232557
440,A,23.78724487
441,A,71.49532222
442,A,49.62774634
443,A,74.17529406
444,A,50.83337325
445,A,76.61132569
446,A,57.53281975
447,A,66.90067994
448,A,43.6349386
449,A,47.56053178
450,A,45.96589194
451,A,53.41346268
452,A,36.05103842
453,A,59.65098964
454,A,31.10560894
455,A,56.74000358
456,A,48.94010043
457,A,42.15873652
458,A,58.84241867
459,A,103.3138219
460,A,39.78861433
461,A,55.40944703
462,A,60.90878294
463,A,49.71828469
464,A,61.02539471
465,A,61.08182667
466,A,47.0345298
467,A,69.61490235
468,A,36.88452435
469,A,70.74660487
470,A,64.81880002
471,A,58.92261367
472,A,-13.09453219
473,A,22.91067607
474,A,21.54835749
475,A,35.62754824
476,A,22.14152261
477,A,72.30063233
478,A,58.22524873
479,A,22.07741019
480,A,51.58829376
481,A,23.35095854
482,A,42.69026418
483,A,47.80960321
484,A,39.51965947
485,A,33.55549823
486,A,65.06819576
487,A,57.15756179
488,A,49.72787023
489,A,61.4716772
490,A,79.69287428
491,A,30.93383302
492,A,65.98428888
493,A,36.76575454
494,A,62.55791328
495,A,50.11958045
496,A,39.18974087
497,A,65.71960656
498,A,20.15185484
499,A,13.11734302
500,A,24.18265458
