x,pdf,
1,-3,0.004431848
2,-2.996998,0.004471915
3,-2.993997,0.004512303
4,-2.990995,0.004553015
5,-2.987994,0.004594053
6,-2.984992,0.004635419
7,-2.981991,0.004677116
8,-2.978989,0.004719145
9,-2.975988,0.004761508
10,-2.972986,0.004804209
11,-2.969985,0.004847249
12,-2.966983,0.00489063
13,-2.963982,0.004934356
14,-2.96098,0.004978427
15,-2.957979,0.005022847
16,-2.954977,0.005067617
17,-2.951976,0.005112741
18,-2.948974,0.00515822
19,-2.945973,0.005204056
20,-2.942971,0.005250252
21,-2.93997,0.005296811
22,-2.936968,0.005343735
23,-2.933967,0.005391025
24,-2.930965,0.005438686
25,-2.927964,0.005486718
26,-2.924962,0.005535124
27,-2.921961,0.005583907
28,-2.918959,0.00563307
29,-2.915958,0.005682614
30,-2.912956,0.005732542
31,-2.909955,0.005782856
32,-2.906953,0.00583356
33,-2.903952,0.005884656
34,-2.90095,0.005936145
35,-2.897949,0.005988031
36,-2.894947,0.006040316
37,-2.891946,0.006093003
38,-2.888944,0.006146093
39,-2.885943,0.006199591
40,-2.882941,0.006253498
41,-2.87994,0.006307817
42,-2.876938,0.00636255
43,-2.873937,0.006417701
44,-2.870935,0.006473271
45,-2.867934,0.006529263
46,-2.864932,0.006585681
47,-2.861931,0.006642526
48,-2.858929,0.006699802
49,-2.855928,0.00675751
50,-2.852926,0.006815654
51,-2.849925,0.006874237
52,-2.846923,0.00693326
53,-2.843922,0.006992728
54,-2.84092,0.007052641
55,-2.837919,0.007113005
56,-2.834917,0.00717382
57,-2.831916,0.00723509
58,-2.828914,0.007296817
59,-2.825913,0.007359005
60,-2.822911,0.007421656
61,-2.81991,0.007484773
62,-2.816908,0.007548359
63,-2.813907,0.007612416
64,-2.810905,0.007676948
65,-2.807904,0.007741957
66,-2.804902,0.007807446
67,-2.801901,0.007873418
68,-2.798899,0.007939876
69,-2.795898,0.008006823
70,-2.792896,0.008074262
71,-2.789895,0.008142195
72,-2.786893,0.008210626
73,-2.783892,0.008279558
74,-2.78089,0.008348993
75,-2.777889,0.008418934
76,-2.774887,0.008489385
77,-2.771886,0.008560349
78,-2.768884,0.008631827
79,-2.765883,0.008703824
80,-2.762881,0.008776343
81,-2.75988,0.008849386
82,-2.756878,0.008922957
83,-2.753877,0.008997058
84,-2.750875,0.009071693
85,-2.747874,0.009146865
86,-2.744872,0.009222576
87,-2.741871,0.00929883
88,-2.738869,0.009375631
89,-2.735868,0.00945298
90,-2.732866,0.009530882
91,-2.729865,0.009609339
92,-2.726863,0.009688355
93,-2.723862,0.009767933
94,-2.72086,0.009848075
95,-2.717859,0.009928786
96,-2.714857,0.010010067
97,-2.711856,0.010091924
98,-2.708854,0.010174358
99,-2.705853,0.010257373
100,-2.702851,0.010340972
101,-2.69985,0.010425158
102,-2.696848,0.010509935
103,-2.693847,0.010595307
104,-2.690845,0.010681275
105,-2.687844,0.010767844
106,-2.684842,0.010855017
107,-2.681841,0.010942796
108,-2.678839,0.011031187
109,-2.675838,0.011120191
110,-2.672836,0.011209812
111,-2.669835,0.011300054
112,-2.666833,0.01139092
113,-2.663832,0.011482412
114,-2.66083,0.011574536
115,-2.657829,0.011667293
116,-2.654827,0.011760688
117,-2.651826,0.011854724
118,-2.648824,0.011949404
119,-2.645823,0.012044731
120,-2.642821,0.01214071
121,-2.63982,0.012237343
122,-2.636818,0.012334634
123,-2.633817,0.012432587
124,-2.630815,0.012531204
125,-2.627814,0.012630491
126,-2.624812,0.012730449
127,-2.621811,0.012831082
128,-2.618809,0.012932395
129,-2.615808,0.01303439
130,-2.612806,0.013137071
131,-2.609805,0.013240442
132,-2.606803,0.013344506
133,-2.603802,0.013449267
134,-2.6008,0.013554728
135,-2.597799,0.013660892
136,-2.594797,0.013767765
137,-2.591796,0.013875348
138,-2.588794,0.013983646
139,-2.585793,0.014092663
140,-2.582791,0.014202401
141,-2.57979,0.014312865
142,-2.576788,0.014424058
143,-2.573787,0.014535984
144,-2.570785,0.014648647
145,-2.567784,0.01476205
146,-2.564782,0.014876197
147,-2.561781,0.014991091
148,-2.558779,0.015106736
149,-2.555778,0.015223137
150,-2.552776,0.015340296
151,-2.549775,0.015458218
152,-2.546773,0.015576906
153,-2.543772,0.015696363
154,-2.54077,0.015816594
155,-2.537769,0.015937603
156,-2.534767,0.016059393
157,-2.531766,0.016181967
158,-2.528764,0.016305331
159,-2.525763,0.016429487
160,-2.522761,0.016554439
161,-2.51976,0.016680191
162,-2.516758,0.016806746
163,-2.513757,0.01693411
164,-2.510755,0.017062285
165,-2.507754,0.017191275
166,-2.504752,0.017321084
167,-2.501751,0.017451717
168,-2.498749,0.017583176
169,-2.495748,0.017715466
170,-2.492746,0.01784859
171,-2.489745,0.017982552
172,-2.486743,0.018117357
173,-2.483742,0.018253008
174,-2.48074,0.018389509
175,-2.477739,0.018526864
176,-2.474737,0.018665077
177,-2.471736,0.018804151
178,-2.468734,0.018944091
179,-2.465733,0.0190849
180,-2.462731,0.019226583
181,-2.45973,0.019369143
182,-2.456728,0.019512585
183,-2.453727,0.019656911
184,-2.450725,0.019802127
185,-2.447724,0.019948236
186,-2.444722,0.020095241
187,-2.441721,0.020243148
188,-2.438719,0.02039196
189,-2.435718,0.02054168
190,-2.432716,0.020692314
191,-2.429715,0.020843864
192,-2.426713,0.020996335
193,-2.423712,0.021149731
194,-2.42071,0.021304055
195,-2.417709,0.021459312
196,-2.414707,0.021615506
197,-2.411706,0.021772641
198,-2.408704,0.021930721
199,-2.405703,0.022089749
200,-2.402701,0.02224973
201,-2.3997,0.022410667
202,-2.396698,0.022572566
203,-2.393697,0.022735429
204,-2.390695,0.022899261
205,-2.387694,0.023064065
206,-2.384692,0.023229847
207,-2.381691,0.023396609
208,-2.378689,0.023564356
209,-2.375688,0.023733092
210,-2.372686,0.023902821
211,-2.369685,0.024073547
212,-2.366683,0.024245274
213,-2.363682,0.024418006
214,-2.36068,0.024591747
215,-2.357679,0.024766501
216,-2.354677,0.024942273
217,-2.351676,0.025119065
218,-2.348674,0.025296883
219,-2.345673,0.02547573
220,-2.342671,0.02565561
221,-2.33967,0.025836527
222,-2.336668,0.026018486
223,-2.333667,0.026201491
224,-2.330665,0.026385544
225,-2.327664,0.026570652
226,-2.324662,0.026756817
227,-2.321661,0.026944043
228,-2.318659,0.027132335
229,-2.315658,0.027321697
230,-2.312656,0.027512133
231,-2.309655,0.027703646
232,-2.306653,0.027896241
233,-2.303652,0.028089922
234,-2.30065,0.028284693
235,-2.297649,0.028480558
236,-2.294647,0.028677521
237,-2.291646,0.028875586
238,-2.288644,0.029074757
239,-2.285643,0.029275038
240,-2.282641,0.029476433
241,-2.27964,0.029678946
242,-2.276638,0.029882581
243,-2.273637,0.030087342
244,-2.270635,0.030293234
245,-2.267634,0.030500259
246,-2.264632,0.030708423
247,-2.261631,0.030917729
248,-2.258629,0.031128181
249,-2.255628,0.031339783
250,-2.252626,0.03155254
251,-2.249625,0.031766455
252,-2.246623,0.031981531
253,-2.243622,0.032197774
254,-2.24062,0.032415187
255,-2.237619,0.032633774
256,-2.234617,0.03285354
257,-2.231616,0.033074487
258,-2.228614,0.03329662
259,-2.225613,0.033519943
260,-2.222611,0.033744459
261,-2.21961,0.033970174
262,-2.216608,0.03419709
263,-2.213607,0.034425212
264,-2.210605,0.034654544
265,-2.207604,0.034885088
266,-2.204602,0.035116851
267,-2.201601,0.035349834
268,-2.198599,0.035584043
269,-2.195598,0.035819481
270,-2.192596,0.036056151
271,-2.189595,0.036294059
272,-2.186593,0.036533207
273,-2.183592,0.036773599
274,-2.18059,0.03701524
275,-2.177589,0.037258133
276,-2.174587,0.037502282
277,-2.171586,0.037747691
278,-2.168584,0.037994364
279,-2.165583,0.038242304
280,-2.162581,0.038491515
281,-2.15958,0.038742001
282,-2.156578,0.038993766
283,-2.153577,0.039246813
284,-2.150575,0.039501147
285,-2.147574,0.039756771
286,-2.144572,0.040013688
287,-2.141571,0.040271903
288,-2.138569,0.040531419
289,-2.135568,0.04079224
290,-2.132566,0.041054369
291,-2.129565,0.041317811
292,-2.126563,0.041582568
293,-2.123562,0.041848645
294,-2.12056,0.042116045
295,-2.117559,0.042384772
296,-2.114557,0.04265483
297,-2.111556,0.042926221
298,-2.108554,0.043198949
299,-2.105553,0.043473019
300,-2.102551,0.043748434
301,-2.09955,0.044025196
302,-2.096548,0.044303311
303,-2.093547,0.044582781
304,-2.090545,0.044863609
305,-2.087544,0.0451458
306,-2.084542,0.045429356
307,-2.081541,0.045714282
308,-2.078539,0.04600058
309,-2.075538,0.046288254
310,-2.072536,0.046577307
311,-2.069535,0.046867744
312,-2.066533,0.047159566
313,-2.063532,0.047452778
314,-2.06053,0.047747383
315,-2.057529,0.048043384
316,-2.054527,0.048340785
317,-2.051526,0.048639588
318,-2.048524,0.048939797
319,-2.045523,0.049241416
320,-2.042521,0.049544447
321,-2.03952,0.049848895
322,-2.036518,0.050154761
323,-2.033517,0.050462049
324,-2.030515,0.050770762
325,-2.027514,0.051080904
326,-2.024512,0.051392477
327,-2.021511,0.051705486
328,-2.018509,0.052019931
329,-2.015508,0.052335818
330,-2.012506,0.052653148
331,-2.009505,0.052971926
332,-2.006503,0.053292153
333,-2.003502,0.053613833
334,-2.0005,0.053936969
335,-1.997499,0.054261563
336,-1.994497,0.05458762
337,-1.991496,0.05491514
338,-1.988494,0.055244128
339,-1.985493,0.055574587
340,-1.982491,0.055906518
341,-1.97949,0.056239925
342,-1.976488,0.056574811
343,-1.973487,0.056911179
344,-1.970485,0.05724903
345,-1.967484,0.057588368
346,-1.964482,0.057929196
347,-1.961481,0.058271516
348,-1.958479,0.058615331
349,-1.955478,0.058960643
350,-1.952476,0.059307455
351,-1.949475,0.05965577
352,-1.946473,0.060005589
353,-1.943472,0.060356917
354,-1.94047,0.060709754
355,-1.937469,0.061064104
356,-1.934467,0.061419969
357,-1.931466,0.061777351
358,-1.928464,0.062136253
359,-1.925463,0.062496677
360,-1.922461,0.062858625
361,-1.91946,0.0632221
362,-1.916458,0.063587103
363,-1.913457,0.063953638
364,-1.910455,0.064321707
365,-1.907454,0.06469131
366,-1.904452,0.065062452
367,-1.901451,0.065435133
368,-1.898449,0.065809356
369,-1.895448,0.066185123
370,-1.892446,0.066562436
371,-1.889445,0.066941297
372,-1.886443,0.067321707
373,-1.883442,0.06770367
374,-1.88044,0.068087186
375,-1.877439,0.068472258
376,-1.874437,0.068858888
377,-1.871436,0.069247076
378,-1.868434,0.069636826
379,-1.865433,0.070028138
380,-1.862431,0.070421015
381,-1.85943,0.070815458
382,-1.856428,0.071211469
383,-1.853427,0.071609049
384,-1.850425,0.072008201
385,-1.847424,0.072408925
386,-1.844422,0.072811223
387,-1.841421,0.073215096
388,-1.838419,0.073620546
389,-1.835418,0.074027575
390,-1.832416,0.074436184
391,-1.829415,0.074846374
392,-1.826413,0.075258146
393,-1.823412,0.075671501
394,-1.82041,0.076086442
395,-1.817409,0.076502969
396,-1.814407,0.076921083
397,-1.811406,0.077340785
398,-1.808404,0.077762077
399,-1.805403,0.078184959
400,-1.802401,0.078609433
401,-1.7994,0.079035499
402,-1.796398,0.079463159
403,-1.793397,0.079892413
404,-1.790395,0.080323262
405,-1.787394,0.080755707
406,-1.784392,0.081189749
407,-1.781391,0.081625388
408,-1.778389,0.082062626
409,-1.775388,0.082501462
410,-1.772386,0.082941898
411,-1.769385,0.083383934
412,-1.766383,0.08382757
413,-1.763382,0.084272808
414,-1.76038,0.084719647
415,-1.757379,0.085168089
416,-1.754377,0.085618132
417,-1.751376,0.086069779
418,-1.748374,0.086523028
419,-1.745373,0.08697788
420,-1.742371,0.087434336
421,-1.73937,0.087892396
422,-1.736368,0.08835206
423,-1.733367,0.088813327
424,-1.730365,0.089276198
425,-1.727364,0.089740673
426,-1.724362,0.090206752
427,-1.721361,0.090674435
428,-1.718359,0.091143721
429,-1.715358,0.091614611
430,-1.712356,0.092087103
431,-1.709355,0.092561199
432,-1.706353,0.093036898
