Sample_Size,Sample_Mean
1,100    ,9.864900
2,100   ,10.116544
3,100   ,10.445668
4,100   ,10.408151
5,100   ,10.474667
6,100    ,9.652485
7,100    ,9.826255
8,100   ,10.189305
9,100    ,9.697590
10,100    ,9.959063
11,100    ,9.400690
12,100   ,10.488477
13,100   ,10.030077
14,100    ,9.212090
15,100    ,9.010456
16,100    ,9.046990
17,100    ,9.436855
18,100   ,10.435116
19,100   ,10.155115
20,100    ,9.938848
21,100    ,9.991290
22,100    ,9.840702
23,100   ,10.063635
24,100    ,9.407750
25,100   ,10.171725
26,100    ,9.715936
27,100    ,9.900236
28,100   ,10.123566
29,100    ,9.485789
30,100    ,9.590350
31,100   ,10.004529
32,100   ,10.618760
33,100   ,10.025282
34,100   ,10.338365
35,100    ,9.913742
36,100    ,9.782800
37,100    ,9.648893
38,100   ,10.270852
39,100    ,9.254405
40,100    ,9.829459
41,100   ,10.841874
42,100    ,9.730553
43,100    ,9.022771
44,100   ,10.219936
45,100   ,10.181503
46,100    ,9.569381
47,100    ,9.111992
48,100    ,9.740966
49,100   ,10.188412
50,100    ,9.458409
51,100   ,10.036706
52,100    ,9.750756
53,100    ,9.847855
54,100   ,10.284420
55,100   ,10.173661
56,100   ,10.379094
57,100   ,10.042260
58,100    ,9.787606
59,100    ,9.914932
60,100    ,9.817785
61,100    ,8.920679
62,100    ,9.773395
63,100    ,9.926799
64,100   ,10.260466
65,100   ,10.602895
66,100   ,10.394570
67,100    ,9.925336
68,100    ,9.738807
69,100   ,10.074084
70,100    ,9.962643
71,100    ,9.873911
72,100    ,9.975334
73,100   ,10.396108
74,100   ,10.806616
75,100    ,9.786717
76,100    ,9.106823
77,100   ,10.244814
78,100    ,9.849877
79,100   ,10.246949
80,100    ,9.896233
81,100    ,9.467308
82,100   ,10.016847
83,100   ,10.023489
84,100   ,10.354439
85,100    ,8.327085
86,100    ,9.356244
87,100    ,9.818424
88,100    ,9.920582
89,100   ,10.162119
90,100   ,10.357246
91,100    ,9.019724
92,100    ,9.859382
93,100    ,9.807370
94,100   ,10.033918
95,100    ,9.703963
